127.0.0.1, 2018-10-27 23:13:34, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:15:33, GET, /, HTTP/1.1, 303, 0.832000
127.0.0.1, 2018-10-27 23:15:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.148000
127.0.0.1, 2018-10-27 23:15:33, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:15:45, GET, /admin/default/index, HTTP/1.1, 303, 0.142000
127.0.0.1, 2018-10-27 23:15:45, GET, /admin/default/site, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-10-27 23:15:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:15:46, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-10-27 23:15:46, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:15:46, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-27 23:15:46, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-27 23:15:46, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:17:26, GET, /, HTTP/1.1, 303, 0.832000
127.0.0.1, 2018-10-27 23:17:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.132000
127.0.0.1, 2018-10-27 23:17:26, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:17:32, GET, /admin/default/index, HTTP/1.1, 303, 0.128000
127.0.0.1, 2018-10-27 23:17:32, GET, /admin/default/site, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-10-27 23:17:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-27 23:17:33, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.069000
127.0.0.1, 2018-10-27 23:17:34, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:17:34, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:17:34, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:17:34, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:17:51, GET, /admin/default/index, HTTP/1.1, 303, 0.010000
127.0.0.1, 2018-10-27 23:17:51, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-10-27 23:17:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:17:53, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-10-27 23:17:53, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-27 23:17:53, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:17:53, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:17:53, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:18:13, GET, /admin/default/index, HTTP/1.1, 303, 0.012000
127.0.0.1, 2018-10-27 23:18:13, GET, /admin/default/site, HTTP/1.1, 200, 0.037000
127.0.0.1, 2018-10-27 23:18:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:18:14, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-10-27 23:18:14, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:18:14, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:18:14, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:18:14, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:18:22, GET, /admin/default/index, HTTP/1.1, 303, 0.014000
127.0.0.1, 2018-10-27 23:18:22, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-10-27 23:18:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:18:23, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-10-27 23:18:23, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:18:23, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
